row,col
132,5882
132,5883
132,5884
133,5881
133,5882
133,5883
133,5884
134,5880
134,5881
134,5882
134,5883
135,5879
135,5880
135,5881
135,5882
135,5883
136,5877
136,5878
136,5879
137,5877
137,5878
137,5879
137,5880
138,5875
138,5876
138,5877
138,5878
139,5874
139,5875
139,5876
139,5877
139,5878
140,5871
140,5872
140,5873
140,5874
140,5875
140,5876
140,5877
141,5869
141,5870
141,5871
141,5872
141,5873
141,5874
141,5875
141,5876
141,5877
142,5867
142,5868
142,5869
142,5870
142,5871
142,5872
142,5873
142,5874
142,5875
142,5876
142,5877
143,5866
143,5867
143,5868
143,5869
143,5870
143,5871
143,5872
143,5873
143,5874
143,5875
143,5876
143,5877
144,5866
144,5867
144,5868
144,5869
144,5870
144,5871
144,5872
144,5873
144,5874
144,5875
144,5876
145,5867
145,5868
145,5869
145,5870
145,5871
145,5872
145,5873
145,5874
145,5875
146,5867
146,5868
146,5869
146,5870
146,5871
146,5872
146,5873
146,5874
146,5875
147,5868
147,5869
147,5870
147,5871
147,5872
147,5873
147,5874
148,5870
148,5871
148,5872
148,5873
149,5871
149,5872
1128,6219
1128,6220
1129,6219
1129,6220
1129,6221
1130,6219
1130,6220
1130,6221
1131,6219
1131,6220
1131,6221
1132,6220
1132,6221
1132,6222
1132,6223
1133,6222
1133,6223
1133,6224
1134,6224
1135,6224
1135,6225
1136,6225
1136,6226
1137,6225
1137,6226
1138,6225
1138,6226
1140,6224
1140,6225
1141,6224
1141,6225
1416,5957
1417,5956
1417,5969
1418,5970
1418,5971
1418,5972
1419,5969
1419,5970
1419,5971
1419,5972
1419,5973
1420,5972
1420,5973
1421,5956
1421,5957
1421,5958
1421,5959
1421,5960
1421,5961
1422,5956
1422,5957
1422,5958
1422,5959
1422,5960
1422,5961
1423,5957
1423,5958
1423,5959
1423,5960
1423,5961
1423,5962
1424,5951
1424,5959
1424,5960
1424,5961
1424,5962
1424,5963
1424,5964
1425,5963
1425,5964
1425,5965
1425,5966
1426,5955
1426,5964
1426,5965
2160,4900
2160,4901
2160,4902
2161,4896
2161,4897
2161,4898
2161,4899
2161,4900
2161,4901
2161,4902
2161,4903
2161,4904
2161,4906
2162,4897
2162,4898
2162,4899
2162,4900
2162,4901
2162,4902
2162,4903
2162,4904
2162,4908
2163,4897
2163,4898
2163,4899
2163,4900
2163,4901
2163,4902
2163,4903
2163,4909
2164,4898
2164,4899
2164,4900
2164,4901
2164,4902
2164,4903
2164,4904
2165,4898
2165,4899
2165,4900
2165,4901
2165,4902
2166,4898
2344,4317
2344,4318
2344,4319
2345,4316
2345,4318
2346,4318
2347,4318
2348,4317
2348,4318
2349,4317
2349,4318
2350,4316
2350,4317
2350,4318
2351,4316
2351,4317
2352,4316
2352,4317
2352,4318
2352,4319
2353,4316
2353,4317
2353,4318
2354,4316
2354,4317
2354,4318
2355,4316
2355,4317
2355,4318
2356,4316
2356,4317
2356,4318
2357,4316
2357,4317
2357,4318
2358,4316
2358,4317
2358,4318
2359,4317
2359,4318
2360,4317
2361,4317
2362,4317
2989,4479
3056,3703
3056,3704
3056,3705
3057,3703
3057,3704
3057,3705
3057,3706
3058,3703
3058,3704
3058,3705
3058,3706
3058,3707
3059,3703
3059,3704
3059,3705
3059,3706
3059,3707
3060,3703
3060,3704
3060,3705
3060,3706
3060,3707
3061,3703
3061,3704
3061,3705
3061,3706
3061,3707
3061,3708
3062,3704
3062,3705
3062,3706
3062,3707
3062,3708
3063,3704
3063,3705
3063,3706
3063,3707
3063,3708
3063,3709
3064,3703
3064,3704
3064,3705
3064,3706
3064,3707
3064,3708
3064,3709
3064,3710
3065,3704
3065,3705
3065,3706
3065,3707
3065,3708
3065,3709
3065,3710
3066,3705
3066,3706
3066,3707
3066,3708
3066,3709
3066,3710
3066,3711
3067,3706
3067,3707
3067,3708
3067,3709
3067,3710
3067,3711
3067,3712
3068,3706
3068,3707
3068,3708
3068,3709
3068,3710
3068,3711
3068,3712
3069,3706
3069,3707
3069,3708
3069,3709
3069,3710
3069,3711
3069,3712
3070,3706
3070,3707
3070,3708
3070,3709
3070,3710
3070,3711
3070,3712
3071,3706
3071,3707
3071,3708
3071,3709
3071,3710
3071,3711
3072,3706
3072,3707
3072,3708
3072,3709
3072,3710
3073,3706
3073,3707
3073,3708
3074,3707
3207,4348
3208,4348
3209,4347
3209,4348
3210,4347
3210,4348
3210,4349
3211,4348
3211,4349
3212,3741
3212,4347
3212,4348
3212,4349
3213,4347
3213,4348
3214,4347
3214,4348
3217,3768
3217,3769
3218,3770
3227,3756
3227,3813
3228,3755
3228,3756
3228,3813
3229,3755
3229,3756
3229,3814
3230,3755
3230,3756
3230,3814
3234,3817
3235,3818
3236,3819
3237,3819
3238,3756
3238,3786
3238,3819
3238,3820
3239,3756
3239,3757
3239,3820
3239,3821
3240,3820
3240,3821
3241,3735
3241,3820
3241,3821
3241,3822
3242,3763
3242,3764
3242,3765
3242,3820
3242,3821
3242,3822
3243,3766
3243,3820
3243,3821
3243,3822
3244,3767
3244,3822
3244,3823
3245,3768
3245,3769
3245,3822
3245,3823
3246,3771
3246,3822
3246,3823
3247,3772
3247,3823
3248,3823
3248,3824
3249,3824
3250,3825
3251,3825
3252,3826
3253,3826
3254,3650
3254,3826
3254,3827
3255,3827
3256,3651
3256,3827
3257,3827
3259,3828
3265,3653
3265,3809
3265,3810
3265,3811
3265,3812
3265,3813
3265,3814
3265,3815
3265,3816
3266,3606
3266,3808
3266,3809
3266,3810
3266,3811
3266,3812
3266,3813
3266,3814
3266,3815
3266,3816
3266,3817
3266,3818
3267,3806
3267,3807
3267,3808
3267,3809
3267,3810
3267,3811
3267,3812
3267,3813
3267,3814
3268,3803
3268,3804
3268,3805
3268,3806
3268,3807
3268,3808
3268,3809
3268,3810
3269,3609
3269,3800
3269,3801
3269,3802
3269,3803
3269,3804
3269,3805
3269,3806
3269,3807
3269,3808
3270,3610
3270,3798
3270,3799
3270,3800
3270,3801
3270,3802
3270,3803
3270,3804
3270,3805
3271,3610
3271,3795
3271,3796
3271,3797
3271,3798
3271,3799
3271,3800
3271,3801
3271,3802
3272,3792
3272,3793
3272,3794
3272,3795
3272,3796
3272,3797
3272,3798
3272,3799
3273,3580
3273,3791
3273,3792
3273,3793
3273,3794
3273,3795
3273,3796
3273,3797
3274,3580
3274,3790
3274,3791
3274,3792
3274,3793
3274,3794
3275,3581
3275,3747
3275,3789
3275,3790
3275,3791
3275,3792
3276,3785
3276,3786
3277,3613
3277,3614
3278,3613
3278,3614
3278,3748
3278,3749
3278,3750
3279,3614
3279,3749
3279,3750
3279,3751
3279,3752
3280,3614
3280,3751
3280,3753
3280,3754
3299,3705
3300,3653
3301,3653
3301,3702
3301,3703
3302,3653
3302,3654
3303,3702
3304,3701
3305,3627
3305,3628
3305,3700
3305,3701
3305,3702
3306,3626
3306,3627
3306,3628
3306,3629
3306,3700
3306,3701
3306,3702
3307,3627
3307,3628
3307,3629
3307,3630
3307,3699
3307,3700
3307,3701
3307,3702
3307,3703
3308,3629
3308,3630
3308,3631
3308,3632
3308,3633
3309,3631
3309,3632
3309,3633
3310,3632
3310,3633
3310,3634
3311,3633
3311,3634
3312,3632
3312,3633
3312,3634
3313,3631
3313,3632
3313,3633
3313,3634
3313,3635
3313,3636
3313,3696
3313,3697
3314,3633
3314,3634
3314,3635
3314,3636
3314,3637
3314,3691
3314,3692
3314,3693
3314,3694
3314,3695
3314,3696
3314,3697
3315,3634
3315,3635
3315,3636
3315,3637
3315,3638
3315,3693
3315,3694
3315,3695
3315,3696
3316,3638
3316,3639
3316,3695
3316,3696
3578,3770
3578,3771
3579,3771
3579,3772
3580,3771
3580,3772
3581,3771
3582,3770
3582,3771
3583,3770
3583,3771
3583,3772
3584,3770
3584,3771
3584,3772
3584,3773
3585,3773
3585,3774
3586,3774
3586,3775
3587,3774
3587,3775
3711,5960
3711,5961
3711,5962
3712,5959
3712,5960
3712,5961
3712,5962
3712,5963
3713,5959
3713,5960
3713,5961
3713,5962
3713,5963
3714,5959
3714,5960
3714,5961
3714,5962
3715,5959
3715,5960
3715,5961
3716,5953
3716,5954
3716,5955
3716,5959
3716,5960
3716,5961
3717,5952
3717,5953
3717,5954
3717,5955
3717,5956
3717,5957
3717,5959
3717,5960
3718,5952
3718,5953
3718,5954
3718,5955
3718,5956
3718,5957
3718,5958
3718,5959
3719,5953
3719,5954
3719,5955
3719,5956
3719,5957
3719,5958
3720,5953
3720,5954
3720,5955
3720,5956
3721,5955
3774,5628
3775,5628
3776,5628
3777,5609
3777,5625
3777,5626
3777,5627
3778,5626
3782,5605
3788,5799
3788,5800
3789,5805
3790,5806
3791,5806
3792,5792
3792,5805
3792,5806
3793,5791
3793,5804
3793,5805
3793,5806
3794,5791
3794,5803
3794,5804
3794,5805
3795,5791
3795,5803
3795,5804
3795,5805
3796,5791
3796,5802
3796,5803
3797,5790
3797,5791
3797,5801
3798,5790
3798,5791
3798,5801
3799,5790
3799,5791
3799,5801
3800,5790
3803,5767
3805,5768
3806,5768
3806,5769
3806,5770
3807,5709
3807,5710
3807,5769
3807,5770
3807,5771
3807,5781
3808,5708
3808,5711
3808,5770
3808,5771
3808,5772
3808,5781
3808,5782
3809,5684
3809,5711
3809,5771
3809,5772
3809,5782
3809,5783
3809,5784
3810,3980
3810,3981
3810,3982
3810,5707
3810,5711
3810,5712
3810,5772
3810,5782
3810,5783
3810,5784
3811,3981
3811,3982
3811,5685
3811,5706
3811,5711
3811,5712
3811,5772
3811,5773
3811,5775
3811,5782
